danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,6Qs4SXO9dwPj5GKvVOv8Ki,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,171030,4,1
0.549,0.396,8,-8.435,0,0.437,0.168,0.0777,0.147,0.284,79.494,audio_features,3aLZ0s5ulFLcFCtIZQblpo,spotify:track:3aLZ0s5ulFLcFCtIZQblpo,https://api.spotify.com/v1/tracks/3aLZ0s5ulFLcFCtIZQblpo,https://api.spotify.com/v1/audio-analysis/3aLZ0s5ulFLcFCtIZQblpo,141452,4,3
0.885,0.578,5,-7.416,0,0.0783,0.0739,0.0903,0.102,0.388,131.999,audio_features,5CqkgDH8QZjSqqI3HmYxDD,spotify:track:5CqkgDH8QZjSqqI3HmYxDD,https://api.spotify.com/v1/tracks/5CqkgDH8QZjSqqI3HmYxDD,https://api.spotify.com/v1/audio-analysis/5CqkgDH8QZjSqqI3HmYxDD,178933,4,5
0.578,0.655,1,-6.704,0,0.0571,0.351,8.8e-06,0.175,0.44,124.846,audio_features,6R0Dd8xZR1ykAun0UHIedq,spotify:track:6R0Dd8xZR1ykAun0UHIedq,https://api.spotify.com/v1/tracks/6R0Dd8xZR1ykAun0UHIedq,https://api.spotify.com/v1/audio-analysis/6R0Dd8xZR1ykAun0UHIedq,174500,4,5
0.529,0.76,11,-4.781,0,0.25,0.00491,0.0,0.344,0.276,166.465,audio_features,5gr8txrWi5JFLDoxzVZxLE,spotify:track:5gr8txrWi5JFLDoxzVZxLE,https://api.spotify.com/v1/tracks/5gr8txrWi5JFLDoxzVZxLE,https://api.spotify.com/v1/audio-analysis/5gr8txrWi5JFLDoxzVZxLE,209640,4,3
0.831,0.843,5,-4.7,0,0.0441,0.324,2.37e-05,0.0777,0.823,117.053,audio_features,7fUWZUNj5qbEuoL6K9947g,spotify:track:7fUWZUNj5qbEuoL6K9947g,https://api.spotify.com/v1/tracks/7fUWZUNj5qbEuoL6K9947g,https://api.spotify.com/v1/audio-analysis/7fUWZUNj5qbEuoL6K9947g,221680,4,5
0.651,0.539,1,-8.496,0,0.173,0.673,0.0,0.134,0.226,89.638,audio_features,5qIEQwr6duTVF77EzNODcL,spotify:track:5qIEQwr6duTVF77EzNODcL,https://api.spotify.com/v1/tracks/5qIEQwr6duTVF77EzNODcL,https://api.spotify.com/v1/audio-analysis/5qIEQwr6duTVF77EzNODcL,149333,4,1
0.551,0.8,6,-2.137,0,0.271,0.462,0.0,0.296,0.407,99.979,audio_features,7KWwQ8SokgUDO7es6Q4ZGW,spotify:track:7KWwQ8SokgUDO7es6Q4ZGW,https://api.spotify.com/v1/tracks/7KWwQ8SokgUDO7es6Q4ZGW,https://api.spotify.com/v1/audio-analysis/7KWwQ8SokgUDO7es6Q4ZGW,184500,4,3
0.748,0.75,7,-3.693,1,0.0508,0.259,8.59e-05,0.0923,0.537,101.964,audio_features,1u8rt8dSYVnjJT5josyZ77,spotify:track:1u8rt8dSYVnjJT5josyZ77,https://api.spotify.com/v1/tracks/1u8rt8dSYVnjJT5josyZ77,https://api.spotify.com/v1/audio-analysis/1u8rt8dSYVnjJT5josyZ77,212680,4,0
0.846,0.42,11,-8.659,0,0.104,0.296,0.00134,0.09,0.621,139.883,audio_features,5xX2LYdXyx0Boa61rZOjq5,spotify:track:5xX2LYdXyx0Boa61rZOjq5,https://api.spotify.com/v1/tracks/5xX2LYdXyx0Boa61rZOjq5,https://api.spotify.com/v1/audio-analysis/5xX2LYdXyx0Boa61rZOjq5,178453,4,5
